"    Landmark","X2","Y2","X4","Y4","dX","dY","X5","Y5","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","68.2","0.0","69.3","0.0","1.1","0.0","79.1","0.0","11.0","0.0"
"PORION","-14.8","-10.5","-17.7","-13.2","-2.8","-2.6","-21.4","-10.4","-6.5","0.1"
"ORBITALE","49.6","-27.5","47.5","-28.6","-2.1","-1.1","56.1","-30.8","6.6","-3.3"
"U I APEX","n/a","n/a","51.6","-48.0","n/a","n/a","63.5","-61.5","n/a","n/a"
"POINT A","57.7","-48.6","58.3","-49.4","0.6","-0.8","69.0","-61.1","11.3","-12.5"
"U I EDGE","n/a","n/a","58.3","-70.6","n/a","n/a","74.5","-87.5","n/a","n/a"
"L I EDGE","54.6","-69.1","54.8","-69.5","0.2","-0.4","71.8","-87.3","17.3","-18.2"
"POINT B","46.7","-88.5","47.2","-84.2","0.5","4.3","62.1","-102.8","15.3","-14.3"
"L I APEX","41.3","-88.7","41.3","-86.4","-0.0","2.4","54.8","-104.4","13.5","-15.7"
"POGONION","44.3","-95.5","44.5","-94.7","0.2","0.8","59.9","-123.1","15.6","-27.6"
"MENTON","36.2","-97.9","35.4","-99.1","-0.7","-1.2","51.8","-128.5","15.7","-30.6"
"U 6 APEX","n/a","n/a","34.9","-40.8","n/a","n/a","40.8","-55.7","n/a","n/a"
"U 6 CUSP","n/a","n/a","29.9","-56.2","n/a","n/a","38.5","-74.7","n/a","n/a"
"L 6 CUSP","n/a","n/a","27.7","-58.2","n/a","n/a","N/A","N/A","n/a","n/a"
"L 6 APEX","n/a","n/a","17.6","-71.4","n/a","n/a","N/A","N/A","n/a","n/a"
"GONION L","3.2","-69.4","2.4","-71.2","-0.8","-1.7","6.3","-95.0","3.2","-25.6"
"GONION U","2.9","-66.4","1.0","-68.1","-1.9","-1.7","6.2","-89.5","3.3","-23.1"
"CONDYLE","-11.8","-18.1","-16.2","-15.4","-4.4","2.8","-18.1","-17.1","-6.3","1.1"
"PNS","16.7","-39.6","16.0","-40.7","-0.7","-1.1","19.7","-51.7","3.0","-12.1"
"BASION","-27.8","-31.9","-30.3","-35.6","-2.5","-3.7","-30.4","-39.2","-2.5","-7.3"
"MID GONION","3.0","-67.9","1.7","-69.6","-1.4","-1.7","6.3","-92.3","3.2","-24.3"
"ANS","62.1","-45.3","62.7","-46.3","0.6","-1.0","74.6","-55.5","12.5","-10.2"
"ARTICULAR","-12.3","-23.6","-14.2","-24.5","-1.8","-0.9","-15.9","-33.0","-3.6","-9.4"
