"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","68.0","0.0","69.2","0.0","1.2","0.0","69.6","0.0","1.6","0.0","71.1","0.0","3.1","0.0"
"PORION","-22.9","-15.5","-20.1","-15.1","2.8","0.4","-19.4","-13.6","3.5","1.9","-15.3","-15.9","7.6","-0.5"
"ORBITALE","53.7","-21.9","53.3","-22.9","-0.3","-0.9","55.1","-22.0","1.4","-0.1","56.8","-22.9","3.2","-1.0"
"U I APEX","57.3","-49.3","59.2","-50.5","1.9","-1.2","59.0","-52.0","1.6","-2.7","60.8","-53.1","3.4","-3.9"
"POINT A","63.0","-52.0","64.8","-53.9","1.8","-1.9","65.6","-54.4","2.6","-2.3","66.6","-54.8","3.6","-2.7"
"U I EDGE","67.0","-72.4","69.1","-74.5","2.0","-2.1","69.7","-75.0","2.6","-2.7","70.7","-75.8","3.7","-3.5"
"L I EDGE","65.0","-70.2","66.1","-71.3","1.0","-1.1","67.2","-72.1","2.1","-1.9","67.2","-73.9","2.2","-3.7"
"POINT B","60.9","-94.8","63.4","-99.1","2.5","-4.3","66.8","-94.2","5.9","0.6","68.0","-99.7","7.1","-4.9"
"L I APEX","55.2","-94.7","N/A","N/A","n/a","n/a","61.0","-96.0","5.7","-1.3","63.2","-97.0","8.0","-2.4"
"POGONION","n/a","n/a","N/A","N/A","n/a","n/a","68.8","-110.3","n/a","n/a","69.9","-112.1","n/a","n/a"
"MENTON","n/a","n/a","N/A","N/A","n/a","n/a","60.6","-114.3","n/a","n/a","63.5","-116.0","n/a","n/a"
"U 6 APEX","33.9","-44.5","35.4","-48.4","1.5","-3.9","36.5","-51.7","2.6","-7.1","38.5","-52.8","4.6","-8.3"
"U 6 CUSP","31.9","-65.7","34.4","-68.9","2.5","-3.2","35.6","-70.8","3.7","-5.1","38.0","-71.0","6.1","-5.3"
"L 6 CUSP","37.0","-67.3","39.3","-70.3","2.2","-3.0","41.1","-72.3","4.1","-5.1","42.7","-72.8","5.7","-5.5"
"L 6 APEX","25.6","-85.6","29.5","-87.2","3.9","-1.6","31.8","-91.2","6.2","-5.7","31.6","-94.1","5.9","-8.5"
"GONION L","6.1","-85.7","5.7","-87.6","-0.4","-2.0","3.8","-86.4","-2.3","-0.7","8.8","-90.0","2.8","-4.3"
"GONION U","6.6","-80.4","4.9","-82.6","-1.7","-2.2","3.8","-86.0","-2.8","-5.6","9.4","-87.8","2.8","-7.4"
"CONDYLE","-15.1","-18.2","-13.5","-17.2","1.6","1.0","-15.5","-20.3","-0.4","-2.1","-17.1","-15.4","-2.0","2.8"
"PNS","15.5","-43.5","16.4","-46.0","0.9","-2.5","14.4","-46.3","-1.1","-2.8","16.8","-47.3","1.3","-3.8"
"BASION","-25.2","-38.0","-26.1","-36.8","-0.9","1.2","-29.7","-34.6","-4.5","3.4","-27.6","-34.4","-2.4","3.6"
"MID GONION","6.3","-83.0","5.3","-85.1","-1.0","-2.1","3.8","-86.2","-2.5","-3.2","9.1","-88.9","2.8","-5.9"
"ANS","66.4","-48.3","68.3","-49.4","1.8","-1.1","68.7","-50.5","2.3","-2.2","69.9","-51.6","3.4","-3.3"
"ARTICULAR","n/a","-38.0","N/A","-36.8","n/a","1.2","N/A","-34.6","n/a","3.4","-14.4","-27.0","n/a","11.0"
