"    Landmark","X6","Y6","X7","Y7","dX","dY","X10","Y10","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","69.5","0.0","69.5","0.0","0.0","0.0","72.2","0.0","2.7","0.0"
"PORION","-21.0","-3.0","-19.3","-3.5","1.7","-0.4","-20.1","-9.0","0.9","-5.9"
"ORBITALE","55.1","-24.0","55.5","-23.9","0.4","0.2","57.9","-25.2","2.8","-1.1"
"U I APEX","56.7","-48.0","58.7","-51.8","2.0","-3.9","60.5","-56.7","3.8","-8.8"
"POINT A","62.1","-50.6","63.0","-51.9","0.8","-1.3","65.7","-55.9","3.6","-5.3"
"U I EDGE","59.9","-72.5","60.3","-73.0","0.4","-0.6","64.0","-78.5","4.1","-6.1"
"L I EDGE","56.5","-70.0","59.0","-72.6","2.4","-2.6","62.7","-78.0","6.1","-8.0"
"POINT B","47.3","-85.6","49.7","-88.5","2.4","-2.8","53.6","-94.8","6.3","-9.2"
"L I APEX","44.4","-84.9","47.5","-87.2","3.1","-2.2","48.8","-94.0","4.3","-9.0"
"POGONION","44.2","-98.1","46.1","-102.4","1.9","-4.3","52.0","-107.9","7.8","-9.9"
"MENTON","37.0","-100.3","39.7","-104.4","2.7","-4.0","45.1","-112.5","8.0","-12.1"
"U 6 APEX","37.2","-44.8","36.6","-47.6","-0.6","-2.8","40.3","-52.5","3.1","-7.7"
"U 6 CUSP","29.7","-58.9","30.5","-61.1","0.8","-2.2","34.8","-67.2","5.1","-8.3"
"L 6 CUSP","30.1","-60.6","32.6","-63.2","2.5","-2.6","36.7","-70.0","6.6","-9.4"
"L 6 APEX","23.3","-73.1","22.5","-78.3","-0.8","-5.1","29.5","-85.9","6.2","-12.8"
"GONION L","-8.1","-73.0","-7.3","-77.3","0.8","-4.3","-9.1","-84.7","-1.0","-11.7"
"GONION U","-8.2","-70.5","-7.2","-72.6","1.0","-2.2","-8.5","-80.3","-0.3","-9.8"
"CONDYLE","-10.5","-10.8","-11.1","-13.8","-0.6","-2.9","-11.9","-18.0","-1.4","-7.2"
"PNS","18.7","-37.9","15.9","-38.4","-2.8","-0.5","17.4","-42.0","-1.3","-4.1"
"BASION","-25.6","-28.1","-26.2","-31.7","-0.6","-3.6","-28.6","-34.9","-3.1","-6.9"
"U_6_MCP","33.3","-57.5","35.0","-60.3","1.8","-2.7","37.0","-64.8","3.7","-7.2"
"L_6_MCP","30.8","-64.1","34.3","-67.9","3.5","-3.8","37.8","-73.8","7.0","-9.7"
"ANS","67.3","-46.0","67.2","-46.9","-0.1","-0.9","68.9","-50.1","1.6","-4.1"
"ARTICULAR","-16.1","-23.5","-16.9","-26.4","-0.8","-2.9","-18.7","-28.2","-2.6","-4.7"
