"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","53.7","0.0","56.3","0.0","2.6","0.0","59.1","0.0","5.5","0.0","59.5","0.0","5.9","0.0"
"PORION","-21.3","-15.8","-21.5","-17.3","-0.2","-1.4","-21.2","-18.4","0.1","-2.6","-22.8","-16.9","-1.5","-1.0"
"ORBITALE","40.0","-21.6","42.2","-23.5","2.2","-1.9","44.4","-23.1","4.5","-1.6","44.4","-22.7","4.5","-1.1"
"U I APEX","42.5","-42.5","48.4","-46.8","5.9","-4.3","53.3","-46.6","10.8","-4.2","53.7","-48.2","11.2","-5.7"
"POINT A","47.4","-44.6","51.7","-48.1","4.3","-3.5","56.9","-48.4","9.5","-3.8","57.0","-49.9","9.6","-5.3"
"U I EDGE","48.5","-61.1","N/A","N/A","n/a","n/a","56.2","-68.3","7.7","-7.1","56.4","-69.0","7.9","-7.8"
"L I EDGE","45.6","-59.7","N/A","N/A","n/a","n/a","54.2","-65.0","8.5","-5.3","54.6","-65.3","9.0","-5.6"
"POINT B","37.9","-70.3","41.5","-76.5","3.7","-6.2","47.8","-77.7","9.9","-7.4","48.7","-80.0","10.9","-9.7"
"L I APEX","32.4","-72.2","38.1","-77.2","5.7","-5.0","43.7","-79.0","11.3","-6.9","44.5","-79.9","12.1","-7.7"
"POGONION","34.7","-81.1","39.1","-88.5","4.4","-7.3","45.9","-91.5","11.1","-10.3","47.1","-92.3","12.3","-11.2"
"MENTON","28.6","-84.1","32.6","-92.9","4.1","-8.8","40.3","-95.7","11.8","-11.5","41.1","-96.9","12.6","-12.8"
"U 6 APEX","27.9","-36.8","31.6","-43.8","3.7","-7.0","36.2","-44.6","8.3","-7.9","36.1","-45.5","8.2","-8.7"
"U 6 CUSP","21.3","-51.1","26.1","-59.0","4.8","-7.8","32.5","-59.3","11.2","-8.1","32.0","-61.1","10.7","-10.0"
"L 6 CUSP","20.2","-51.6","25.6","-60.4","5.4","-8.8","32.2","-61.8","12.0","-10.2","32.9","-62.4","12.8","-10.8"
"L 6 APEX","11.8","-65.6","16.8","-76.3","5.0","-10.7","25.9","-78.2","14.1","-12.6","26.9","-79.5","15.1","-13.9"
"GONION L","-12.8","-58.8","-12.6","-71.2","0.2","-12.3","-12.0","-73.9","0.8","-15.0","-11.8","-75.1","1.0","-16.3"
"GONION U","-12.8","-58.8","-10.5","-67.3","2.3","-8.5","-10.4","-69.2","2.4","-10.4","-9.5","-71.3","3.3","-12.4"
"CONDYLE","-16.4","-14.8","-17.1","-18.7","-0.7","-3.8","-15.6","-18.7","0.7","-3.8","-15.8","-19.2","0.6","-4.3"
"PNS","9.7","-36.0","10.9","-40.4","1.3","-4.4","13.8","-39.7","4.2","-3.8","13.6","-40.8","3.9","-4.8"
"BASION","-26.0","-26.9","-28.8","-32.3","-2.8","-5.4","-24.9","-31.8","1.1","-4.8","-24.8","-30.5","1.2","-3.6"
"MID GONION","-12.8","-58.8","-11.6","-69.2","1.2","-10.4","-11.2","-71.5","1.6","-12.7","-10.7","-73.2","2.2","-14.3"
"ANS","50.1","-41.7","54.4","-46.9","4.2","-5.1","59.9","-46.7","9.8","-5.0","60.3","-47.3","10.1","-5.6"
"ARTICULAR","-16.5","-23.4","-19.9","-26.0","-3.4","-2.6","-17.3","-28.3","-0.8","-4.9","-17.5","-27.6","-1.0","-4.2"
