"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","67.3","0.0","69.3","0.0","1.9","0.0","70.7","0.0","3.3","0.0","72.1","0.0","4.8","0.0"
"PORION","-19.0","-14.2","-17.1","-17.1","2.0","-2.9","-21.2","-20.5","-2.2","-6.4","-22.9","-21.7","-3.8","-7.5"
"ORBITALE","50.2","-24.6","51.3","-26.4","1.1","-1.8","53.6","-24.8","3.4","-0.2","54.9","-24.0","4.7","0.5"
"U I APEX","54.1","-48.1","54.8","-53.7","0.6","-5.6","57.5","-57.7","3.4","-9.6","61.3","-60.1","7.2","-12.1"
"POINT A","60.2","-50.9","60.6","-58.1","0.4","-7.2","63.0","-59.5","2.8","-8.6","66.3","-61.0","6.1","-10.1"
"U I EDGE","61.1","-70.3","62.6","-77.0","1.5","-6.6","66.9","-80.0","5.9","-9.7","70.5","-82.5","9.5","-12.1"
"L I EDGE","58.0","-69.7","59.8","-76.4","1.8","-6.7","64.7","-79.3","6.7","-9.6","66.6","-82.8","8.6","-13.1"
"POINT B","50.7","-83.4","50.5","-92.8","-0.1","-9.4","56.4","-96.4","5.8","-13.0","59.0","-99.8","8.3","-16.4"
"L I APEX","46.1","-82.7","45.8","-91.7","-0.3","-9.0","51.3","-96.1","5.2","-13.4","55.2","-98.5","9.0","-15.8"
"POGONION","47.7","-98.6","47.6","-108.6","-0.1","-10.0","55.5","-114.7","7.8","-16.1","58.6","-120.5","10.9","-21.9"
"MENTON","40.7","-103.3","40.9","-111.8","0.1","-8.6","48.9","-118.6","8.1","-15.3","51.8","-125.1","11.0","-21.8"
"U 6 APEX","36.2","-43.1","36.5","-48.0","0.4","-4.9","37.7","-52.7","1.5","-9.6","41.7","-57.1","5.5","-14.0"
"U 6 CUSP","30.8","-57.7","30.4","-64.0","-0.4","-6.3","32.3","-69.2","1.5","-11.5","37.5","-73.1","6.7","-15.4"
"L 6 CUSP","32.6","-60.3","32.1","-65.8","-0.5","-5.4","38.0","-71.8","5.4","-11.4","42.4","-75.9","9.8","-15.6"
"L 6 APEX","22.3","-75.4","22.8","-83.4","0.5","-8.0","29.7","-89.6","7.4","-14.2","34.2","-92.0","11.9","-16.6"
"GONION L","-3.8","-69.6","-5.0","-74.1","-1.2","-4.5","-3.7","-81.5","0.1","-11.9","-4.3","-85.1","-0.5","-15.5"
"GONION U","-2.2","-65.9","-4.6","-72.2","-2.4","-6.3","-0.8","-78.8","1.4","-12.9","-2.1","-81.9","0.1","-15.9"
"CONDYLE","-15.0","-18.6","-13.7","-19.9","1.3","-1.3","-16.1","-20.9","-1.1","-2.3","-16.7","-22.9","-1.7","-4.3"
"PNS","17.4","-37.8","16.1","-40.6","-1.3","-2.8","15.9","-44.4","-1.5","-6.6","16.9","-45.8","-0.5","-7.9"
"BASION","-25.5","-33.1","-27.6","-36.3","-2.1","-3.2","-28.1","-39.5","-2.6","-6.4","-27.0","-42.6","-1.5","-9.6"
"MID GONION","-3.0","-67.8","-4.8","-73.2","-1.8","-5.4","-2.3","-80.2","0.7","-12.4","-3.2","-83.5","-0.2","-15.7"
"ANS","64.3","-44.5","63.3","-49.3","-1.0","-4.8","64.3","-52.1","-0.0","-7.6","70.4","-53.3","6.1","-8.8"
"ARTICULAR","-14.5","-25.3","-16.1","-27.5","-1.6","-2.2","-16.8","-30.4","-2.3","-5.1","-16.0","-32.5","-1.5","-7.2"
