"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","59.3","0.0","61.7","0.0","2.4","0.0","66.9","0.0","7.6","0.0","67.5","0.0","8.2","0.0"
"PORION","-20.4","-17.1","-21.3","-19.0","-0.9","-2.0","-22.4","-22.5","-2.0","-5.4","-22.6","-22.9","-2.2","-5.8"
"ORBITALE","45.4","-23.1","46.6","-23.6","1.2","-0.6","49.9","-23.8","4.5","-0.7","52.3","-21.2","6.9","1.8"
"U I APEX","47.3","-48.1","49.0","-50.7","1.7","-2.6","55.4","-56.5","8.1","-8.4","57.0","-56.1","9.6","-7.9"
"POINT A","52.3","-47.4","54.3","-52.4","2.0","-5.0","59.2","-56.2","6.9","-8.7","61.9","-55.2","9.6","-7.8"
"U I EDGE","51.8","-68.0","54.4","-72.7","2.6","-4.7","60.6","-78.5","8.8","-10.5","62.5","-78.0","10.7","-10.0"
"L I EDGE","50.0","-66.0","52.7","-70.0","2.6","-4.0","58.7","-75.4","8.7","-9.3","61.0","-75.3","11.0","-9.3"
"POINT B","41.7","-80.8","44.2","-85.2","2.5","-4.4","50.9","-92.0","9.2","-11.2","53.6","-93.1","11.8","-12.3"
"L I APEX","37.0","-81.7","39.1","-86.9","2.1","-5.2","47.8","-93.1","10.7","-11.4","50.7","-94.0","13.7","-12.3"
"POGONION","40.1","-95.3","43.2","-101.8","3.0","-6.5","51.9","-111.4","11.8","-16.0","55.1","-114.3","14.9","-18.9"
"MENTON","34.4","-97.9","38.2","-105.2","3.7","-7.3","46.0","-115.3","11.6","-17.5","50.0","-117.5","15.6","-19.6"
"U 6 APEX","30.8","-42.7","31.6","-48.1","0.8","-5.3","33.4","-54.1","2.5","-11.3","34.7","-54.1","3.9","-11.4"
"U 6 CUSP","25.9","-58.2","28.2","-63.1","2.3","-4.9","31.7","-65.8","5.9","-7.6","34.7","-67.4","8.8","-9.2"
"L 6 CUSP","25.7","-58.9","28.8","-63.8","3.1","-4.9","36.2","-68.9","10.6","-10.0","38.2","-71.3","12.5","-12.4"
"L 6 APEX","18.1","-73.6","21.9","-79.0","3.7","-5.4","26.1","-86.7","8.0","-13.1","34.2","-91.0","16.0","-17.4"
"GONION L","-11.0","-69.0","-12.4","-75.1","-1.4","-6.1","-9.5","-86.5","1.5","-17.5","-6.4","-89.7","4.6","-20.7"
"GONION U","-9.9","-66.2","-11.0","-70.7","-1.1","-4.5","-8.1","-79.9","1.8","-13.7","-5.9","-83.7","4.1","-17.5"
"CONDYLE","-13.5","-19.1","-14.7","-18.6","-1.2","0.5","-15.3","-22.9","-1.8","-3.9","-15.0","-21.1","-1.5","-2.0"
"PNS","12.4","-40.6","11.3","-42.4","-1.1","-1.8","16.6","-45.8","4.2","-5.2","17.7","-45.3","5.3","-4.7"
"BASION","-23.1","-34.5","-24.5","-36.4","-1.4","-1.9","-24.4","-40.2","-1.3","-5.7","-23.4","-40.2","-0.3","-5.8"
"MID GONION","-10.5","-67.6","-11.7","-72.9","-1.2","-5.3","-8.8","-83.2","1.7","-15.6","-6.1","-86.7","4.4","-19.1"
"ANS","55.8","-43.6","61.1","-46.9","5.4","-3.3","63.0","-49.3","7.2","-5.7","66.2","-48.8","10.4","-5.2"
"ARTICULAR","-15.3","-28.1","-16.8","-30.7","-1.5","-2.6","-16.1","-34.2","-0.8","-6.0","-15.6","-35.4","-0.3","-7.3"
