"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","67.5","0.0","68.7","0.0","1.2","0.0","70.2","0.0","2.6","0.0","73.4","0.0","5.9","0.0"
"PORION","-19.4","-12.2","-18.9","-13.8","0.5","-1.7","-18.6","-15.1","0.8","-3.0","-23.2","-11.2","-3.9","1.0"
"ORBITALE","49.3","-24.1","48.8","-25.5","-0.5","-1.4","49.9","-25.9","0.6","-1.8","57.0","-27.1","7.8","-3.0"
"U I APEX","53.3","-49.4","53.5","-51.3","0.2","-2.0","57.7","-54.9","4.4","-5.5","60.2","-57.7","6.9","-8.3"
"POINT A","57.6","-49.3","57.9","-53.3","0.3","-4.0","62.2","-55.6","4.6","-6.3","64.5","-57.9","6.9","-8.6"
"U I EDGE","57.5","-72.1","58.1","-76.3","0.6","-4.3","62.6","-80.1","5.1","-8.0","65.9","-84.7","8.4","-12.6"
"L I EDGE","55.1","-70.7","56.0","-73.1","0.9","-2.4","60.9","-77.8","5.8","-7.0","63.6","-81.6","8.5","-10.9"
"POINT B","43.6","-87.0","45.2","-88.4","1.6","-1.4","49.7","-95.7","6.1","-8.7","52.9","-98.2","9.3","-11.2"
"L I APEX","41.2","-83.8","40.1","-87.2","-1.1","-3.4","45.6","-93.6","4.4","-9.8","49.4","-96.5","8.1","-12.7"
"POGONION","41.4","-97.0","42.1","-102.3","0.7","-5.4","48.0","-109.5","6.5","-12.6","52.2","-115.2","10.8","-18.2"
"MENTON","36.6","-103.5","37.0","-107.6","0.4","-4.1","42.5","-114.2","5.9","-10.7","47.8","-121.9","11.2","-18.4"
"U 6 APEX","34.4","-45.5","35.1","-51.3","0.6","-5.8","39.1","-50.0","4.7","-4.6","42.4","-57.6","8.0","-12.2"
"U 6 CUSP","30.3","-60.6","30.3","-64.1","0.0","-3.5","33.4","-67.9","3.1","-7.3","40.8","-75.8","10.5","-15.2"
"L 6 CUSP","29.4","-61.3","31.6","-65.8","2.2","-4.6","34.5","-70.1","5.0","-8.8","40.0","-76.6","10.6","-15.3"
"L 6 APEX","19.9","-77.5","19.7","-81.7","-0.3","-4.2","25.2","-88.9","5.3","-11.4","30.7","-94.7","10.7","-17.2"
"GONION L","-10.1","-72.1","-12.9","-74.4","-2.8","-2.3","-12.4","-79.4","-2.3","-7.3","-14.1","-88.5","-3.9","-16.4"
"GONION U","-9.0","-69.6","-12.6","-71.1","-3.5","-1.5","-9.9","-76.5","-0.9","-6.9","-14.1","-88.5","-5.1","-18.9"
"CONDYLE","-14.0","-16.9","-14.4","-16.1","-0.4","0.8","-13.5","-17.5","0.5","-0.6","-19.1","-20.3","-5.1","-3.4"
"ANS","60.9","-44.7","61.4","-47.3","0.5","-2.6","65.0","-49.9","4.1","-5.2","68.0","-52.7","7.2","-8.0"
"PNS","17.4","-41.6","16.6","-41.7","-0.8","-0.1","16.5","-43.0","-1.0","-1.4","16.6","-44.4","-0.8","-2.7"
"BASION","-23.5","-34.2","-24.6","-35.6","-1.1","-1.4","-24.9","-37.2","-1.4","-2.9","-26.1","-38.0","-2.6","-3.8"
"MID GONION","-9.6","-70.8","-12.8","-72.7","-3.2","-1.9","-11.2","-78.0","-1.6","-7.1","-14.1","-88.5","-4.5","-17.7"
"ARTICULAR","-14.9","-28.0","-16.9","-28.2","-1.9","-0.2","-15.4","-29.5","-0.4","-1.5","-19.6","-33.4","-4.6","-5.4"
