"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","68.2","0.0","68.1","0.0","-0.1","0.0","69.8","0.0","1.6","0.0","69.6","0.0","1.4","0.0","70.9","0.0","2.8","0.0","70.9","0.0","2.7","0.0","71.3","0.0","3.1","0.0","71.5","0.0","3.3","0.0","71.8","0.0","3.6","0.0","71.6","0.0","3.4","0.0","71.8","0.0","3.6","0.0","72.3","0.0","4.1","0.0"
"PORION","-22.3","-10.1","-21.7","-8.6","0.5","1.4","-24.0","-9.5","-1.8","0.6","-24.3","-10.6","-2.0","-0.5","-23.0","-9.1","-0.8","1.0","-24.7","-11.0","-2.4","-1.0","-25.2","-9.4","-2.9","0.7","-26.3","-10.1","-4.0","0.0","-27.1","-6.8","-4.9","3.2","-25.5","-11.8","-3.3","-1.8","-28.2","-10.9","-6.0","-0.8","-26.5","-8.7","-4.3","1.3"
"ORBITALE","52.8","-20.2","51.0","-22.7","-1.8","-2.5","52.9","-24.1","0.0","-3.9","50.7","-22.7","-2.1","-2.5","54.5","-25.5","1.7","-5.3","54.3","-25.7","1.5","-5.5","52.6","-25.8","-0.2","-5.6","53.6","-26.2","0.8","-6.0","55.6","-28.3","2.8","-8.1","55.6","-26.3","2.7","-6.1","56.4","-27.6","3.6","-7.4","55.0","-27.5","2.1","-7.3"
"U I APEX","55.3","-50.7","53.6","-50.7","-1.7","-0.0","53.1","-55.3","-2.2","-4.6","53.2","-55.5","-2.1","-4.8","54.7","-58.0","-0.6","-7.3","54.9","-57.7","-0.4","-7.1","53.3","-59.3","-2.0","-8.6","54.1","-59.4","-1.2","-8.7","52.8","-58.5","-2.6","-7.8","55.7","-59.9","0.4","-9.3","55.0","-61.4","-0.3","-10.7","53.4","-58.7","-2.0","-8.0"
"POINT A","58.7","-53.1","58.6","-54.5","-0.1","-1.3","58.9","-56.7","0.2","-3.6","58.4","-58.6","-0.3","-5.5","59.7","-59.0","1.0","-5.8","60.9","-60.9","2.1","-7.7","58.6","-62.0","-0.2","-8.9","60.0","-61.5","1.2","-8.3","59.3","-61.2","0.6","-8.0","61.1","-61.2","2.3","-8.1","59.6","-60.9","0.9","-7.7","59.7","-60.9","1.0","-7.7"
"U I EDGE","58.2","-73.4","58.0","-76.1","-0.2","-2.6","58.0","-79.0","-0.2","-5.6","59.3","-80.5","1.1","-7.1","60.0","-83.3","1.8","-9.8","61.0","-83.8","2.8","-10.3","57.3","-82.6","-0.9","-9.2","58.2","-83.3","-0.0","-9.8","57.8","-84.3","-0.5","-10.9","59.4","-84.0","1.1","-10.5","58.5","-85.7","0.2","-12.2","58.3","-85.6","0.1","-12.1"
"L I EDGE","49.9","-71.7","51.1","-72.8","1.2","-1.1","52.4","-75.9","2.5","-4.2","53.4","-77.3","3.4","-5.6","53.5","-78.1","3.6","-6.4","55.5","-79.8","5.5","-8.1","55.2","-78.7","5.3","-7.0","55.6","-79.7","5.7","-8.0","55.0","-79.8","5.0","-8.1","56.6","-79.8","6.7","-8.1","56.3","-82.3","6.4","-10.6","55.3","-83.4","5.4","-11.8"
"POINT B","38.9","-87.6","38.6","-89.6","-0.3","-2.0","38.9","-93.3","-0.0","-5.7","39.5","-94.2","0.6","-6.6","39.7","-95.4","0.8","-7.8","41.7","-97.0","2.8","-9.4","39.9","-98.3","1.0","-10.7","39.2","-98.3","0.3","-10.7","39.1","-98.2","0.2","-10.6","39.4","-98.4","0.5","-10.8","39.7","-97.7","0.8","-10.1","37.4","-101.1","-1.5","-13.5"
"L I APEX","32.9","-86.3","32.6","-89.1","-0.3","-2.8","31.7","-92.4","-1.2","-6.1","33.0","-92.6","0.1","-6.3","34.9","-93.7","2.0","-7.3","35.5","-95.5","2.6","-9.2","34.4","-95.9","1.5","-9.5","36.3","-94.2","3.5","-7.9","33.8","-96.2","0.9","-9.8","34.5","-95.5","1.6","-9.1","35.1","-96.1","2.2","-9.7","30.8","-98.9","-2.1","-12.5"
"POGONION","35.4","-95.5","35.6","-98.0","0.2","-2.5","36.0","-101.4","0.6","-5.9","37.0","-101.2","1.6","-5.6","36.6","-105.7","1.3","-10.1","38.5","-106.3","3.1","-10.8","37.7","-107.3","2.3","-11.8","37.2","-107.9","1.8","-12.4","35.7","-108.7","0.3","-13.2","36.9","-108.3","1.5","-12.8","35.9","-109.6","0.5","-14.0","34.4","-111.3","-1.0","-15.7"
"MENTON","25.1","-101.2","25.1","-103.1","0.0","-1.9","25.6","-106.9","0.4","-5.7","26.1","-108.9","1.0","-7.7","26.5","-112.4","1.3","-11.2","27.5","-113.6","2.4","-12.4","27.4","-114.4","2.2","-13.2","26.6","-114.3","1.4","-13.1","25.7","-115.3","0.5","-14.1","26.7","-115.0","1.6","-13.8","26.1","-117.0","1.0","-15.8","24.2","-118.2","-0.9","-17.0"
"U 6 APEX","33.0","-43.4","32.6","-44.3","-0.4","-0.9","33.1","-47.4","0.1","-4.0","32.4","-47.6","-0.6","-4.2","33.3","-48.3","0.4","-4.9","32.3","-50.6","-0.7","-7.2","33.7","-51.6","0.7","-8.2","34.4","-51.2","1.4","-7.8","33.0","-52.1","0.0","-8.8","34.0","-53.0","1.1","-9.7","32.4","-53.9","-0.6","-10.5","33.3","-53.8","0.3","-10.4"
"U 6 CUSP","26.0","-59.7","25.7","-60.6","-0.3","-0.9","25.4","-63.3","-0.5","-3.5","25.4","-65.2","-0.5","-5.5","27.4","-68.0","1.4","-8.3","25.4","-68.0","-0.6","-8.3","28.3","-68.7","2.3","-9.0","28.1","-69.0","2.2","-9.3","28.1","-70.2","2.2","-10.5","29.5","-70.3","3.5","-10.6","29.0","-71.8","3.1","-12.1","28.3","-72.3","2.4","-12.6"
"L 6 CUSP","24.1","-59.8","25.5","-61.4","1.4","-1.6","24.9","-64.0","0.8","-4.3","26.4","-65.8","2.3","-6.0","27.2","-68.4","3.1","-8.6","29.2","-70.3","5.1","-10.6","29.2","-69.8","5.1","-10.0","29.5","-70.6","5.4","-10.9","28.8","-70.8","4.8","-11.0","30.3","-70.9","6.2","-11.2","29.6","-72.0","5.6","-12.2","29.0","-74.2","4.9","-14.5"
"L 6 APEX","11.9","-74.1","12.8","-77.3","0.9","-3.2","14.0","-80.2","2.0","-6.1","13.2","-82.7","1.3","-8.6","13.3","-86.1","1.4","-12.0","16.2","-86.8","4.3","-12.6","16.2","-88.0","4.3","-13.9","16.7","-87.5","4.7","-13.3","15.7","-89.3","3.8","-15.2","18.1","-88.1","6.2","-14.0","18.2","-91.2","6.2","-17.1","17.4","-90.9","5.5","-16.8"
"GONION L","-10.9","-68.0","-13.5","-70.1","-2.6","-2.0","-13.1","-73.6","-2.2","-5.6","-14.8","-75.7","-3.9","-7.7","-15.3","-78.1","-4.5","-10.0","-14.7","-78.2","-3.8","-10.2","-15.2","-81.5","-4.3","-13.4","-15.9","-79.7","-5.0","-11.6","-18.8","-80.7","-7.9","-12.6","-17.5","-80.5","-6.7","-12.5","-18.2","-83.6","-7.3","-15.5","-18.2","-84.9","-7.4","-16.8"
"GONION U","-13.2","-64.5","-12.8","-65.5","0.4","-0.9","-11.0","-71.0","2.2","-6.4","-15.2","-69.7","-2.0","-5.2","-16.6","-70.5","-3.4","-6.0","-17.4","-72.6","-4.2","-8.1","-15.7","-74.0","-2.5","-9.5","-16.0","-74.8","-2.8","-10.3","-16.7","-73.8","-3.5","-9.2","-17.2","-74.5","-4.0","-10.0","-17.8","-75.9","-4.6","-11.4","-18.0","-75.2","-4.8","-10.7"
"CONDYLE","-18.0","-10.6","-17.1","-11.4","0.9","-0.9","-19.5","-12.1","-1.5","-1.5","-19.6","-13.2","-1.7","-2.7","-18.3","-11.7","-0.4","-1.1","-21.1","-12.5","-3.2","-1.9","-20.4","-11.6","-2.5","-1.1","-20.9","-13.4","-3.0","-2.8","-21.4","-11.5","-3.4","-1.0","-19.7","-11.5","-1.7","-0.9","-21.3","-13.3","-3.3","-2.8","-18.8","-10.8","-0.9","-0.3"
"PNS","14.0","-40.3","11.9","-40.5","-2.1","-0.2","11.4","-42.6","-2.6","-2.3","9.6","-43.8","-4.4","-3.5","12.6","-44.0","-1.4","-3.7","10.6","-45.3","-3.4","-5.0","7.6","-44.3","-6.4","-4.1","8.3","-43.9","-5.8","-3.6","8.4","-45.2","-5.6","-4.9","9.9","-44.7","-4.1","-4.4","8.2","-45.7","-5.8","-5.4","6.6","-44.5","-7.4","-4.2"
